requestedUrl,finalUrl,category,name,title,type,score
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","duplicate-id-aria","ARIA IDs are unique","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","form-field-multiple-labels","No form fields have multiple labels","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","frame-title","`<frame>` or `<iframe>` elements have a title","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","heading-order","Heading elements appear in a sequentially-descending order","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","html-has-lang","`<html>` element has a `[lang]` attribute","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","html-lang-valid","`<html>` element has a valid value for its `[lang]` attribute","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","image-alt","Image elements have `[alt]` attributes","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","input-image-alt","`<input type=""image"">` elements have `[alt]` text","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","label","Form elements have associated labels","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","link-name","Links have a discernible name","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","list","Lists contain only `<li>` elements and script supporting elements (`<script>` and `<template>`).","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","listitem","List items (`<li>`) are contained within `<ul>` or `<ol>` parent elements","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","meta-refresh","The document does not use `<meta http-equiv=""refresh"">`","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","meta-viewport","`[user-scalable=""no""]` is not used in the `<meta name=""viewport"">` element and the `[maximum-scale]` attribute is not less than 5.","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","object-alt","`<object>` elements have alternate text","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","tabindex","No element has a `[tabindex]` value greater than 0","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","td-headers-attr","Cells in a `<table>` element that use the `[headers]` attribute refer to table cells within the same table.","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","th-has-data-cells","`<th>` elements and elements with `[role=""columnheader""/""rowheader""]` have data cells they describe.","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","valid-lang","`[lang]` attributes have a valid value","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","video-caption","`<video>` elements contain a `<track>` element with `[kind=""captions""]`","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","logical-tab-order","The page has a logical tab order","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","focusable-controls","Interactive controls are keyboard focusable","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","interactive-element-affordance","Interactive elements indicate their purpose and state","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","managed-focus","The user's focus is directed to new content added to the page","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","focus-traps","User focus is not accidentally trapped in a region","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","custom-controls-labels","Custom controls have associated labels","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","custom-controls-roles","Custom controls have ARIA roles","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","visual-order-follows-dom","Visual order on the page follows DOM order","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","offscreen-content-hidden","Offscreen content is hidden from assistive technology","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Accessibility","use-landmarks","HTML5 landmark elements are used to improve navigation","manual","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","best-practices-score","Overall Best Practices Category Score","numeric","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","is-on-https","Uses HTTPS","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","geolocation-on-start","Avoids requesting the geolocation permission on page load","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","notification-on-start","Avoids requesting the notification permission on page load","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","no-vulnerable-libraries","Avoids front-end JavaScript libraries with known security vulnerabilities","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","csp-xss","Ensure CSP is effective against XSS attacks","informative","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","password-inputs-can-be-pasted-into","Allows users to paste into password fields","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","image-aspect-ratio","Displays images with correct aspect ratio","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","image-size-responsive","Serves images with appropriate resolution","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","preload-fonts","Fonts with `font-display: optional` are preloaded","notApplicable","-1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","doctype","Page has the HTML doctype","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","charset","Properly defines charset","binary","1"
"https://thatkookooguy.github.io/arcade-playlist/","https://thatkookooguy.github.io/arcade-playlist/","Best Practices","js-libraries","Detected JavaScript libraries","informative","-1"
